INFO 2025-04-18 12:26:10,412 autoreload 30932 8238903872 Watching for file changes with StatReloader
WARNING 2025-04-18 12:26:16,412 log 30932 6202978304 Not Found: /
WARNING 2025-04-18 12:26:16,414 basehttp 30932 6202978304 "GET / HTTP/1.1" 404 2469
WARNING 2025-04-18 12:26:16,553 log 30932 6219804672 Not Found: /apple-touch-icon-precomposed.png
WARNING 2025-04-18 12:26:16,554 basehttp 30932 6219804672 "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 2583
WARNING 2025-04-18 12:26:16,568 log 30932 6219804672 Not Found: /apple-touch-icon.png
WARNING 2025-04-18 12:26:16,569 basehttp 30932 6219804672 "GET /apple-touch-icon.png HTTP/1.1" 404 2547
WARNING 2025-04-18 12:26:16,675 log 30932 6202978304 Not Found: /favicon.ico
WARNING 2025-04-18 12:26:16,675 basehttp 30932 6202978304 "GET /favicon.ico HTTP/1.1" 404 2520
INFO 2025-04-18 12:26:20,398 basehttp 30932 6202978304 "GET /admin/adminapp/projects/add/ HTTP/1.1" 302 0
INFO 2025-04-18 12:26:20,447 basehttp 30932 6202978304 "GET /admin/login/?next=/admin/adminapp/projects/add/ HTTP/1.1" 200 4228
INFO 2025-04-18 12:26:20,490 basehttp 30932 6253457408 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-04-18 12:26:20,490 basehttp 30932 6303936512 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-04-18 12:26:20,490 basehttp 30932 6236631040 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-04-18 12:26:20,491 basehttp 30932 6287110144 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-04-18 12:26:20,491 basehttp 30932 6202978304 "GET /static/admin/css/base.css HTTP/1.1" 200 22154
INFO 2025-04-18 12:26:20,491 basehttp 30932 6270283776 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-04-18 12:26:20,492 basehttp 30932 6253457408 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16632
INFO 2025-04-18 12:26:22,472 basehttp 30932 6236631040 "GET /admin/adminapp/projects/add/ HTTP/1.1" 302 0
INFO 2025-04-18 12:26:22,485 basehttp 30932 6287110144 "GET /admin/login/?next=/admin/adminapp/projects/add/ HTTP/1.1" 200 4228
INFO 2025-04-18 12:26:23,093 basehttp 30932 6202978304 "GET /admin/ HTTP/1.1" 302 0
